2024-03-26 20:08:47,262 INFO    StreamThr :590508 [internal.py:wandb_internal():86] W&B internal server running at pid: 590508, started at: 2024-03-26 20:08:47.259930
2024-03-26 20:08:47,272 DEBUG   HandlerThread:590508 [handler.py:handle_request():144] handle_request: status
2024-03-26 20:08:47,279 INFO    WriterThread:590508 [datastore.py:open_for_write():85] open: /staff/tord/Workspace/arces_classification/wandb/run-20240326_200847-sz0nvi5n/run-sz0nvi5n.wandb
2024-03-26 20:08:47,286 DEBUG   SenderThread:590508 [sender.py:send():379] send: header
2024-03-26 20:08:47,294 DEBUG   SenderThread:590508 [sender.py:send():379] send: run
2024-03-26 20:08:47,840 INFO    SenderThread:590508 [dir_watcher.py:__init__():211] watching files in: /staff/tord/Workspace/arces_classification/wandb/run-20240326_200847-sz0nvi5n/files
2024-03-26 20:08:47,840 INFO    SenderThread:590508 [sender.py:_start_run_threads():1121] run started: sz0nvi5n with start time 1711480127.257894
2024-03-26 20:08:47,844 DEBUG   SenderThread:590508 [sender.py:send_request():406] send_request: summary_record
2024-03-26 20:08:47,846 INFO    SenderThread:590508 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2024-03-26 20:08:47,861 DEBUG   HandlerThread:590508 [handler.py:handle_request():144] handle_request: check_version
2024-03-26 20:08:47,862 DEBUG   SenderThread:590508 [sender.py:send_request():406] send_request: check_version
2024-03-26 20:08:47,989 DEBUG   HandlerThread:590508 [handler.py:handle_request():144] handle_request: run_start
2024-03-26 20:08:47,993 DEBUG   HandlerThread:590508 [system_info.py:__init__():31] System info init
2024-03-26 20:08:47,993 DEBUG   HandlerThread:590508 [system_info.py:__init__():46] System info init done
2024-03-26 20:08:47,994 INFO    HandlerThread:590508 [system_monitor.py:start():181] Starting system monitor
2024-03-26 20:08:47,995 INFO    HandlerThread:590508 [system_monitor.py:probe():201] Collecting system info
2024-03-26 20:08:47,996 INFO    SystemMonitor:590508 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-03-26 20:08:48,000 INFO    SystemMonitor:590508 [interfaces.py:start():190] Started cpu monitoring
2024-03-26 20:08:48,003 INFO    SystemMonitor:590508 [interfaces.py:start():190] Started disk monitoring
2024-03-26 20:08:48,012 INFO    SystemMonitor:590508 [interfaces.py:start():190] Started memory monitoring
2024-03-26 20:08:48,017 INFO    SystemMonitor:590508 [interfaces.py:start():190] Started network monitoring
2024-03-26 20:08:48,065 DEBUG   HandlerThread:590508 [system_info.py:probe():195] Probing system
2024-03-26 20:08:48,069 DEBUG   HandlerThread:590508 [system_info.py:_probe_git():180] Probing git
2024-03-26 20:08:48,091 DEBUG   HandlerThread:590508 [system_info.py:_probe_git():188] Probing git done
2024-03-26 20:08:48,091 DEBUG   HandlerThread:590508 [system_info.py:probe():240] Probing system done
